@夏虫不应语冰,,小奶包,2169,2019-09-21 19:06
@珍珠奶茶全国后援会,,这眼睫毛，这鼻子 http://t.cn/Ainyl7oL,2087,2019-09-21 19:12
@珍珠奶茶全国后援会,,wuil小迪哥哥 http://t.cn/AinyWkoL,1941,2019-09-21 19:11
@胖树上的小咖喱,,还好这鼻子是真的,1752,2019-09-21 18:57
@Dear海生,,热巴这鼻梁是真的挺,1594,2019-09-21 18:58
@SweetySandy_Wu,,那必须是我迪！,1480,2019-09-21 18:56
@不要回复黑酸1,,那得羡慕羡慕啊,1369,2019-09-21 18:55
@酸奶疙瘩味的小龙包,,太美了太美了！这个女孩子真的是太美了！,1290,2019-09-21 19:00
@乌鱼饭的小可耐,,绝了！,1188,2019-09-21 19:01
@芋圆半导体,,仙女本人吼,1118,2019-09-21 18:57
@痛快的帅哥啊,,啊啊啊啊，迪丽热巴#最挺拔的鼻子大赛# @Dear-迪丽热巴,805,2019-09-21 18:55
@-村口翠花,,那可不咋滴 评论配图,776,2019-09-21 19:03
@小纨纸,,这个话题一下就想到热巴啦,741,2019-09-21 19:02
@乌鱼饭的小可耐,,没有鼻梁的我 戴眼镜还会滑下来,682,2019-09-21 19:01
@迪热热的无脸男,,我好喜欢我迪的鼻子,646,2019-09-21 19:00
@Lucifer爱牛轧糖,,姐姐的鼻子，羡慕啊,581,2019-09-21 19:06
@TIAMO失真,,我想问除了迪丽热巴还有谁,513,2019-09-21 19:08
@Lanieryale,,哈哈哈哈第一张图好魔性看了无数遍,465,2019-09-21 19:08
@猫咪变刚成大佬,,看见这个话题真的就想到她 一个嫌弃自己鼻梁太高 但让我一个没鼻梁的人 真的超级羡慕啊,364,2019-09-21 19:08
@可乐小小婷,,,316,2019-09-21 19:15
@可乐小小婷,,,257,2019-09-21 19:13
@热心网友小吴Y,,这鼻子真绝了！ 评论配图,238,2019-09-21 19:22
@是一个没有刺的仙人掌,,绝 评论配图,222,2019-09-21 19:20
@是一个没有刺的仙人掌,,爱了爱了 评论配图,208,2019-09-21 19:21
@87无迪是多么寂寞,,蜡像般的鼻子,177,2019-09-21 19:14
@蔡白白8899,,这个这个 评论配图,179,2019-09-21 19:40
@是一个没有刺的仙人掌,,我的小九,165,2019-09-21 20:10
@不灭幽灵,,,155,2019-09-21 19:16
@网瘾少女--dream,,这个话题简直是为热巴量身定做,162,2019-09-21 19:20
@今天又是纠结的一整天,,,137,2019-09-21 19:03
@热巴的小口罩,,,139,2019-09-21 19:01
@最帅的迪迪虾,,来了,113,2019-09-21 20:14
@WanDiSakuKi,,不仅是鼻子，整个五官都很绝 http://t.cn/AinyRMFb,133,2019-09-21 19:45
@是萌花花呀,,这姐绝了！,112,2019-09-21 19:05
@迪宝的小抓饭,,图片评论 http://t.cn/Ainylrl1,121,2019-09-21 19:16
@故作深沉的狐狸,,超级挺,116,2019-09-21 19:48
@87无迪是多么寂寞,,要的就是气场！ http://t.cn/AinylTyH,111,2019-09-21 19:15
@sunainong-,,好挺... http://t.cn/AinyjzxR,102,2019-09-21 19:17
@长安U故里,,图片评论 http://t.cn/AinyRBvZ,92,2019-09-21 19:47
@周放-放姐,,这个话题简直。。。为了迪丽热巴设定的,84,2019-09-21 19:47
@是一个没有刺的仙人掌,,如图,81,2019-09-21 20:10
@橘猫樱巷,,姐的鼻子是真的绝,79,2019-09-21 19:51
@久迢,,这张！,69,2019-09-21 20:26
@·J·依,,今晚看大美人,63,2019-09-21 19:43
@心爱的美人0417,,这是我想要的鼻子,63,2019-09-21 19:49
@柠濛彩虹糖,,哈哈哈,53,2019-09-21 19:09
@银河第一打怪物,,绝美巴巴， 评论配图,54,2019-09-21 20:10
@橘子酱是我呀,,这张 评论配图,53,2019-09-21 19:44
@TIAMO失真,,图片评论 评论配图,48,2019-09-21 20:50
@圆溜溜的小丸子w,,宝贝的鼻子越来越挺了 哈哈哈,43,2019-09-21 19:19
@我永远喜欢dear迪丽热巴,,迪丽热巴我可以,33,2019-09-21 20:50
@马宝Jenny,,我来了,30,2019-09-21 20:51
@不不不想取名,,图片评论 评论配图,32,2019-09-21 20:01
@卡殿KKX,,图片评论 评论配图,29,2019-09-21 21:04
@迪迪的小粉粉,,为迪丽热巴而量身定做的话题,31,2019-09-21 20:51
@青丘小红狐,,,21,2019-09-21 21:36
@混沌fffb,,好优越,21,2019-09-21 21:05
@马宝Jenny,,来了,25,2019-09-21 20:51
@TIAMO失真,,上去,26,2019-09-21 20:50
@泰菲心里na个阿丝,,图片评论 评论配图,24,2019-09-21 19:51
@AiDi170709,,图片评论 评论配图,21,2019-09-21 21:20
@AiDi170709,,精致的五官 评论配图,19,2019-09-21 21:20
@桃子的酱酱,,绝对太赞了,22,2019-09-21 19:45
@暗黑向爱穎7087,,#最挺拔的鼻子大赛# 羡慕热巴的鼻子,22,2019-09-21 20:50
@热and爱,,77女孩可以的,19,2019-09-21 20:50
@我就是这样RAD,,#迪丽热巴慢游希腊#  绝,16,2019-09-21 22:18
@V尹子,,,13,2019-09-21 21:12
@马宝Jenny,,啦啦啦啦啦啦,15,2019-09-21 20:51
@马宝Jenny,,姐姐好美,14,2019-09-21 20:51
@V尹子,,I can,12,2019-09-21 21:12
@V尹子,,小提哥,11,2019-09-21 21:12
@为了你我愿意对抗全世界,,第一张图可太魔性了,9,2019-09-21 22:18
@only-馨,,#最挺拔的鼻子大赛# 这个我迪必须的必拥有姓名 查看图片,8,2019-09-22 14:19
@Dear-冰侦探,,当时看P1真的绝了！鼻子高还可以顶箱子,7,2019-09-22 12:32
@V尹子,,欧巴,9,2019-09-21 21:11
@V尹子,,甜热热,9,2019-09-21 21:11
@想行happy婉,,图片评论 评论配图,10,2019-09-21 20:32
@对面打野是智障,,@_你的十月 不能没有你,7,2019-09-21 19:47
@游笨鱼,,图片评论 评论配图,6,2019-09-23 15:08
@Dear甜糯芒果干,,up,8,2019-09-22 18:22
@看哟我会发光,,就是洋娃娃啊 评论配图,9,2019-09-21 21:57
@橙行走哟喂,,迪丽热巴必须第一,7,2019-09-21 21:49
@小k的小仙女,,热巴热巴热巴热巴热巴热巴热巴迪丽热巴,6,2019-09-22 14:56
@-THISISTT-,,,6,2019-09-22 14:57
@Heating瘾,,这优越的鼻梁啊,6,2019-09-22 14:26
@sijecky,,,8,2019-09-21 22:12
@sunainong-,,优越 评论配图,8,2019-09-21 21:13
@想行happy婉,,图片评论 评论配图,8,2019-09-21 20:33
@是甜栗子呀_,,好绝的鼻子!!,10,2019-09-21 21:26
@爆辣超大份,,图片评论 评论配图,11,2019-09-21 19:55
@逄逄逄大悦,,想在鼻子上滑滑梯,13,2019-09-21 19:01
@扑通扑通小心,,哈哈哈哈哈哈，我的热 评论配图,6,2019-09-23 15:07
@朵以lemonade,,迪丽热巴,6,2019-09-21 21:51
@木子晔,,冲鸭！,6,2019-09-22 15:03
@i小奶巴,,这颜我太i了,6,2019-09-22 14:58
@i小奶巴,,姐姐太可爱了,6,2019-09-22 14:49
@迪痂小毒药,,第一张图好魔性,6,2019-09-21 22:18
@黎哩2媛,,#迪丽热巴时尚大师#,10,2019-09-21 21:29
@财神爷的亲生女儿,,这个没有比热巴更适合的了吧,8,2019-09-21 21:04
@砂糖白樱,,姐姐挺拔的鼻子,10,2019-09-21 20:54
@游笨鱼,,迪丽热巴白凤九,5,2019-09-23 15:07
@KiDi一生热爱,,姐姐的鼻子绝了,5,2019-09-23 15:04
@周放-放姐,,哈哈哈哈哈哈，第一张图，太好笑了,5,2019-09-22 15:34
@袖青筝,,迪丽热巴,5,2019-09-22 14:14
@黎哩2媛,,冲冲冲,9,2019-09-21 21:29
@Papi2,,#迪丽热巴慢游希腊#,9,2019-09-21 21:28
@Papi2,,迪,9,2019-09-21 21:27
@Y安大大咧咧,,迪丽热巴,10,2019-09-21 21:26
@迪诺诺呐,,真的超喜欢热巴的鼻,6,2019-09-21 21:12
@黎哩2媛,,,9,2019-09-21 20:51
@TIAMO失真,,大家跟上啊,8,2019-09-21 20:50
@今天本爪脱非了吗,,太好看了！！！,9,2019-09-21 20:50
@小k的小仙女,,我姐的鼻子绝了,5,2019-09-22 14:55
@KendyKwok_,,,5,2019-09-22 14:51
@巧克力马修喵喵,,我们迪优越的鼻梁！！！#最挺拔的鼻子大赛# 评论配图,10,2019-09-21 21:26
@迪深猫,,爱了爱了好美 评论配图,5,2019-09-23 15:09
@一只成了精的仙女酱,,太美辽太美辽,5,2019-09-22 15:27
@可可可哈,,,7,2019-09-22 12:02
@大连日报发行专员,,图片评论 评论配图,4,2019-09-23 15:01
@迪姐的大棉裤,,这张必须拥有 评论配图,6,2019-09-22 17:21
@蛋蛋今天有没有笑一笑,,路人粉一直保存着这张照片 评论配图,6,2019-09-22 15:53
@懒猫伊万内奇,,,6,2019-09-23 15:27
@游笨鱼,,迪迪,4,2019-09-23 15:07
@木木木木木阿彡,,姐绝了,8,2019-09-21 21:25
@演员迪丽热巴手里的阿尔卑斯糖,,绝了，正面的鼻子都这么高！！ 评论配图,8,2019-09-21 20:12
@啃ty_ss,,我又可以了,11,2019-09-21 19:00
@化十不是化石,,过于优越,5,2019-09-23 15:08
@小仙女啊呦喂呀,,巴巴美,5,2019-09-23 15:02
@栗米香菇排骨汤,,,5,2019-09-22 18:35
@丸子要去故宫,,绝了啊哈哈哈哈哈哈哈哈哈哈GIF太好笑了,3,2019-09-22 01:40
@Evanismmm712,,别人的鼻梁可以滑滑梯的话，姐姐的鼻梁是可以蹦极了已经,4,2019-09-21 22:54
@话不多先森啊,,喜欢,4,2019-09-21 22:54
@甜汤给我一碗,,这个鼻子也太优秀了,9,2019-09-21 21:27
@哎呀我的迪哥,,,6,2019-09-21 21:25
@周放的小情儿,,非常可 评论配图,7,2019-09-21 19:40
@樱桃少侠,,这张真的鲨我,9,2019-09-21 19:12
@小凉心c,,老婆优秀,5,2019-09-23 15:22
@懒猫伊万内奇,,,4,2019-09-23 15:19
@演员迪丽热巴手里的阿尔卑斯糖,,太可以 评论配图,6,2019-09-22 10:11
@想行happy婉,,迪丽热巴居理新房,4,2019-09-22 09:50
@想行happy婉,,迪丽热巴时尚,4,2019-09-22 09:50
@想行happy婉,,迪丽热巴极限挑战,4,2019-09-22 09:50
@whutil,,你看我评论了,0,2019-09-21 23:04
@恰逢月枕天,,迪丽热巴我可以！,4,2019-09-21 22:50
@Dear-滴滴叭叭叭,,迪丽热巴,7,2019-09-21 21:27
