
@芝士味的围脖cheese,,我觉得不应该只有韩国发声，全球都要关注这件事情。可能欧洲国家觉得这流入太平洋的水不会影响到他们国家，可是流入太平洋的废水会导致太平洋的水源污染化，影响周围国家甚至国家的经济发展之类的。所以，所有地球公民都应该重视这件事情！,312,2019-09-13 11:09,1
@夏至羊M,,完了,155,2019-09-13 10:15,1
@蓝胖子爱吃吃铜锣烧,,洋流全球循环，日本会祸害整个地球，但是我感觉不到他们的任何自责，他们都讲日本素质高，我咋不见得，,155,2019-09-13 11:12,1
@二十四个哔哩鸣,,俄罗斯可以建石棺，日本一样可以把废水储存起来嘛,118,2019-09-13 10:05,1
@丢了西瓜的夏天26025,,水，人的生命之源。水源将被污染？强烈反对日本这种遭天谴的行为。只为一己私欲，这是对全球的不负责。,127,2019-09-13 10:24,1
@负重前行的凡人,,我想知道咱们国家的态度！韩国顶个屁用,118,2019-09-13 10:06,1
@xpTV丶,,内容引起极度不适，建议他们把污水都喝了,87,2019-09-13 10:44,1
@金牛座的嘟嘟哔哔,,中国也要跟进，日本人太坏了,51,2019-09-13 11:07,1
@肯恰那Mm,,到时候就上演真人版的汉江怪物了，而且不止一只。,56,2019-09-13 11:04,2
@契卡20003小队,,这和水下引爆核弹有区别吗,29,2019-09-13 11:21,1
@笨笨的翻车鱼,,每次都是韩国一个在抗议，而且每次还有不少sm精日在那故意乱带节奏，嘲讽韩国,67,2019-09-13 11:16,1
@王小G,,真的是太贱了～,26,2019-09-13 10:59,1
@软烦烦,,啥叫没别的选择，留在你自己的土地自己解决不好吗？非要让别的国家一起被辐射，这不是害人吗,43,2019-09-13 10:54,1
@温柔欲,,日本这个民族真的是反人类的存在，建议核平他们。,61,2019-09-13 10:47,1
@DonaldDump,,日本人：我不好过，就要全世界人民都不好过！我死了都要拿全世界人来垫背！,17,2019-09-13 11:32,1
@Beatsound,,可以让日本这些官员自己喝完,20,2019-09-13 11:09,1
@艾特Amanda,,有病吧，为了不污染自己国家，居然把这摊废水投向太平洋，强烈谴责，妇人之仁，你一个国家的灾难为什么让全世界买单,35,2019-09-13 11:13,1
@咖啡烧菜,,损人也不利己,26,2019-09-13 09:57,1
@肯恰那Mm,,日本一定是外星生物派来毁灭人类的。,27,2019-09-13 11:05,2
@徐柚柚_CC,,惨！海洋生物链和全球人民的生存都有关系！这事儿追溯起来要到二战，日本怕不是已经偷偷排放了很多核污染的水到海里吧？就算是内陆国家也不敢说核污染海洋后和自己没有一点关系。最后这个责任是不是要转嫁给周边国家了？要求周边国家协助治理辐射水？,13,2019-09-13 12:12,4
@骄傲出宇宙,,‘爱干净’的日本人扔了最毒的垃圾,14,2019-09-13 12:29,1
@子辰物语,,人家都不鸟啊喂，你反制个毛线啊,10,2019-09-13 10:41,1
@银武天下,,大海污染已经很严重了，大海表示∶承受不起！,15,2019-09-13 10:09,1
@爱汶瀚宝贝,,日本人真的是干坏事干的理所当然啊 还别无选择,17,2019-09-13 11:21,1
@御馔津射不准原理,,其实已经偷排，反正在日本，排了你也不知道，这只是通知你们,22,2019-09-13 11:10,1
@Therave,,臭不要脸臭名昭著的日本,16,2019-09-13 10:39,1
@lese桶盖儿,,精日去帮日本爹多喝点辐射水,15,2019-09-13 10:56,1
@The理想今年你几岁,,让小日子过的不错的日本选手们自己喝了吧,16,2019-09-13 10:11,1
@ins模特,,难道不是应该全人类共同谴责、制裁日本这种不负责任的行为吗？怎么感觉大家有种事事不关已高高挂起的看客心态呢！,8,2019-09-13 12:17,6
@江湖叹,,有辐同享？辐入东海？,14,2019-09-13 09:55,1
@洛丽塔luxury,,那日本的水都有可能不安全  现在都不敢买日本护肤品了  怕核污染,4,2019-09-13 13:21,1
@嘜咪媽咪轰,,日本自己造的孽自己受着，祸害别人算什么回事？,5,2019-09-13 12:15,1
@Eilley00,,日本是打算来一场全球污染危机吗,8,2019-09-13 11:23,1
@candy的柚子,,日本鬼：我们死，你们也不能活！然而，各国除了谴责抗议，又能拿它怎么办？！,5,2019-09-13 10:40,1
@DreamitpossibleDoyouknow,,建议HBO ABC 网飞拍一部《福岛》一定支持,6,2019-09-13 11:40,1
